item_name,item_brand,item_price,item_description,item_id,item_materials
Darn Tough   Bear Town Micro Crew Socks - Women's,Darn Tough,25.0,"Lightly cushioned hiking socks with all the anti-funk qualities of merino wool, the women's Darn Tough Bear Town Micro Crew socks give you freedom and flex to hike your way up any trail.",#159260,54% nylon/43% merino wool/3% lycra spandex
Royal Robbins   Westlands Relaxed Pullover - Women's,Royal Robbins,82.73,"Spend the cooler months in this cozy Royal Robbins sweater. It's made with a warm blend of merino wool and recycled polyester. And it features a colorful, allover Fair Isle pattern.",#255834,60% merino wool/40% recycled polyester
The North Face   L/S Lightrange Shirt - Women's,The North Face,46.83,"Designed for hiking, the women's The North Face L/S LIGHTRANGE shirt offers UPF protection, anti-odor technology and moisture management so you can stay comfortable when you're on the move.",#243580,main body: 100 g/m2 82% recycled polyester/18% polyester; lower back panel and chest overlays: 94 g/m2 76% recycled polyester/24% polyester; lining: 50 g/m2 100% recycled polyester
Woolrich   Merino Wool Hiking Crew Socks - Men's,Woolrich,17.73,"Ideal for year-round hiking, these Woolrich merino wool hiking socks wick moisture, provide arch support and offer shin protection with targeted cushioning.",#229499,79% merino wool/20% nylon/1% lycra spandex
REI Co-op   Sahara Stretch Convertible Pants - Women's,REI Co-op,49.83,"Inspired by our iconic hiking pants—but designed with extra stretch and a slimmer leg—the women's REI Co-op Sahara Stretch Convertible pants repel water, dry fast and zip off into shorts as needed.",#242644,88% nylon/12% spandex (bluesign approved)
REI Co-op   Merino Wool Lightweight Hiking Quarter Socks,REI Co-op,16.95,"Bare a little more skin for a little cooler hike with the REI Co-op Merino Wool Lightweight hiking quarter socks. Naturally breathable, moisture-wicking and odor-resistant, they cushion every step.",#165399,78% merino wool/21% nylon/1% lycra spandex
Icebreaker   Hike Medium Crew Socks - Women's,Icebreaker,17.73,"Durable, medium-cushioned, crew-height merino wool socks, the women's Icebreaker Hike Medium crew socks supply cushion and ample breathability for warm-weather day hikes and backpacking trips.",#183314,60% wool/37% nylon/3% lycra spandex
REI Co-op   Active Pursuits Long-Sleeve T-Shirt - Men's,REI Co-op,34.95,"Reach for the REI Co-op men's Active Pursuits long-sleeve T-shirt day after day as a wicking, drying, sun-protective layer for your next adventure out. It has a soft feel and plenty of stretch.",#221918,92% polyester/8% spandex (bluesign®-approved)
REI Co-op   Sahara Shade Hoodie - Women's,REI Co-op,49.95,"This REI Co-op sun shirt is great for days spent on the trails or water. Its stretchy, technical knit wicks moisture and provides UPF 50+ sun protection. Pull up the hood for extra coverage.",#184879,92% polyester/8% spandex (bluesign approved)
Darn Tough   Close Encounters Micro Crew Midweight Hiking Socks - Men's,Darn Tough,26.0,"Made with climate-regulating merino wool for all-day comfort on the trails, the men's Darn Tough Close Encounters Micro Crew Midweight hiking socks feature a fun scene with a nod to the supernatural.",#221981,58% merino wool/39% nylon/3% lycra spandex
Darn Tough   Light Hiker Micro Crew Socks - Men's,Darn Tough,25.0,"These redesigned men's Darn Tough Light Hiker Micro Crew socks feature increased breathability with mesh panels, smooth ribbing, uppers that stay put and extended cushioning over the Achilles tendons.",#154491,54% nylon/43% merino wool/3% lycra spandex
The North Face   Field Pants - Women's,The North Face,69.73,"Made for everyday wear, these pants from The North Face easily go from hikes to hangouts. Their cotton/elastane construction adds extra stretch for all-day comfort.",#C02045,300 g/m2 98% cotton/2% elastane twill
REI Co-op   Sahara Convertible Pants - Men's,REI Co-op,89.95,"These REI convertible pants are ideal for long days and changing weather. Side zippers switch them into shorts while your shoes stay on. Plus, the breathable UPF 50+ fabric shields you from the sun.",#236065,96% recycled nylon/4% spandex (bluesign approved)
Icebreaker   Hike Medium Crew Socks - Men's,Icebreaker,17.73,"Durable, medium-cushioned, crew-height merino wool socks, these Icebreaker Hike Medium crew socks for men deliver cushioning and ample breathability for warm-weather day hikes and backpacking trips.",#183235,60% wool/37% nylon/3% lycra spandex
Darn Tough   Sunset Ridge Micro Crew Lightweight Hiking Socks - Men's,Darn Tough,25.0,Take photo-op views wherever your go with the men's Darn Tough Sunset Ridge Micro Crew lightweight hiking socks. They have cushioning in all the right places and are knit for heavy mileage.,#196779,52% nylon/45% merino wool/3% lycra spandex
REI Co-op   Trailmade Pants - Women's,REI Co-op,69.95,"Get out hiking and explore new terrain in these REI Co-op pants. They repel water, dry fast and provide UPF 50+ sun protection, plus they have plenty of pockets for your phone and snacks.",#235802,94% nylon/6% spandex (bluesign approved)
REI Co-op   Trailmade Pants - Men's,REI Co-op,69.95,"Get out hiking and explore new terrain in these REI Co-op pants. They repel water, dry fast and provide UPF 50+ sun protection, plus they have plenty of pockets for your phone and snacks.",#236137,96% nylon/4% spandex (bluesign approved)
The North Face   Basin Pants - Men's,The North Face,49.83,"Equipped with articulated knees, plenty of stretch and FlashDry™ moisture-managing technology, the men's The North Face Basin pants have all the makings of your next go-to hiking pants.",#235663,142 g 94% recycled nylon/6% elastane plain weave with flashdry and non-pfc durable water repellent (dwr) finish
Darn Tough   Hiker Micro Crew Cushion Socks - Men's,Darn Tough,26.0,"Tested on the Vermont Long Trail, these Darn Tough socks provide a high level of cushioned performance. Made with merino wool, they're comfortable and durable.",#825037,61% merino wool/36% nylon/3% lycra spandex
Arc'teryx   Cerium Down Hoody - Men's,Arc'teryx,400.0,"Updated with a refined design and sustainable materials, the men's Arc'teryx Cerium Down Hoody has an exceptional warmth-to-weight ratio for winter climbing, backcountry touring and resting at camp.",#222520,arato 15 recycled dope-dyed nylon
Darn Tough   Hiker Micro Crew Cushion Socks - Women's,Darn Tough,26.0,"Tested on the Vermont Long Trail, these Darn Tough socks provide a high level of cushioned performance. Made with merino wool, they're comfortable and durable.",#825041,59% merino wool/39% nylon/2% lycra spandex
REI Co-op   Merino Wool Expedition Hiking Crew Socks,REI Co-op,22.95,"Hike cold, snowy trails with confidence in the REI Co-op Expedition Merino Hiking crew socks. Their thick cushioning keeps feet warm and the wool blend is naturally breathable and odor-resistant.",#165393,79% merino wool/20% nylon/1% lycra spandex
REI Co-op   Sahara T-Shirt - Men's,REI Co-op,25.93,"We've remade one of our favorite hiking staples with partially recycled fabric. Designed for the trail, the men's REI Co-op Sahara T-shirt stretches, wicks sweat and shades you from the day's rays.",#228372,55% polyester/37% recycled polyester/8% spandex (bluesign approved)
REI Co-op   Merino Wool Midweight Hiking Crew Socks,REI Co-op,19.95,"With allover cushioning, the REI Co-op Merino Wool Midweight hiking crew socks add a bit of warmth for cooler hikes—but they're still naturally breathable, moisture-wicking and odor-resistant.",#165403,81% merino wool/18% nylon/1% lycra spandex
Free Country   Trail 2 Town Tights - Women's,Free Country,39.73,Go from dirt to sidewalk and anywhere in between in the women's Free Country Trail 2 Town Tights. They have a water-repellent finish and UPF sun protection to shield you from the elements.,#253534,88% polyster/12% spandex
Marmot   AirExchange UPF 50 High-Neck Tank Top - Women's,Marmot,33.73,"This backpacking tank top wicks sweat and keeps the rays at bay for quick-drying, breathable comfort. UPF 50 helps block out the sun. This Marmot tank has a pack- and harness-friendly side-zip pocket.",#C04775,100% recycled polyester mesh
REI Co-op   650 Down Jacket - Men's,REI Co-op,129.0,"Bundle up for chilly walks, crisp air and crunchy leaves in the REI Co-op men's 650 Down jacket. This everyday jacket boasts recycled materials to help you feel good in more ways than one.",#221639,recycled ripstop nylon (bluesign approved)
REI Co-op   Sahara Bucket Hat,REI Co-op,42.95,"Whether you're in the Sahara desert or a more moderate climate, it's good to have some shade. The REI Co-op Sahara bucket hat is a classic packable sun hat with a subtle venting system.",#188551,100% polyester (bluesign approved); polyester mesh (bluesign approved)
Mountain Hardwear   Basin Trek Pants - Men's,Mountain Hardwear,63.73,An afternoon loop or a rugged week under heavy loads—the men's Mountain Hardwear Basin Trek pants handles your hikes with durability and articulation for mobility and comfort on the move.,#247179,94% nylon/6% elastane stretch-woven plain weave
REI Co-op   Merino Wool Lightweight Hiking Crew Socks,REI Co-op,18.95,"The REI Co-op Merino Wool Lightweight hiking crew socks are our most popular summer-weight hiking socks for good reason—they're naturally breathable, sweat wicking, quick-drying and odor-resistant.",#165398,79% merino wool/20% nylon/1% lycra spandex
Woolrich   Big Woolly Mid-Calf Socks,Woolrich,18.73,"Warm, heavyweight merino wool socks, these Woolrich Big Woolly socks offer cozy warmth and hit mid-calf, making them ideal for wearing with your hiking and winter boots in cold weather.",#207651,68% merino wool/31% stretch nylon/1% lycra spandex
REI Co-op   COOLMAX EcoMade Midweight Hiking Crew Socks,REI Co-op,17.95,"Hit the trail dressed for comfort in the REI Co-op COOLMAX EcoMade Midweight hiking crew socks. They're cushioned, breathable, absorbent and made using yarn from recycled water bottles.",#165388,80% coolmax ecomade polyester/19% nylon/1% spandex
REI Co-op   Sahara Long-Sleeve Solid Shirt - Women's,REI Co-op,16.83,"Our iconic hiking shirt, the women's REI Co-op Sahara Long-Sleeve Solid shirt is a durable button-front with roll-up sleeves and a vented back yoke panel to keep you cool during hot days on the trail.",#234474,94% nylon/6% spandex (bluesign approved); mesh panels: recycled polyester (bluesign approved)
REI Co-op   Sahara Long-Sleeve T-Shirt - Men's,REI Co-op,27.93,"We remade one of our favorite hiking staples with partially recycled fabric. Designed for the trail, the men's REI Co-op Sahara long-sleeve stretches, wicks sweat and shades you from the day's rays.",#228373,55% polyester/37% recycled polyester/8% spandex (bluesign approved)
REI Co-op   COOLMAX EcoMade Lightweight Hiking Crew Socks,REI Co-op,17.95,"Designed to keep feet happy on the trail, REI Co-op COOLMAX EcoMade Light hiking crew socks wick sweat and breathe to help your feet keep their cool.",#165384,77% coolmax ecomade polyester/22% nylon/1% spandex
REI Co-op   Active Pursuits T-Shirt - Men's,REI Co-op,29.95,"The uphill battle is part of the fun of hiking and trail running. Get your mind open and body prepped for the work with the wicking, quick-drying REI Co-op Active Pursuits men's T-shirt.",#228505,92% polyester/8% spandex (bluesign approved)
REI Co-op   Sahara Shade Long-Sleeve T-Shirt - Women's,REI Co-op,39.95,"Day hikes, backpacking trips or days spent on the water—the women's REI Co-op Sahara Shade long-sleeve T-shirt provides comfort under the sun with our beloved Sahara Shade UPF 50+ performance fabric.",#242891,92% polyester/8% spandex (bluesign approved)
Smartwool   Hike Classic Edition Full Cushion Solid Crew Socks,Smartwool,17.73,Make sure your feet feel great through all your hiking adventures. Smartwool Hike Classic Edition Full Cushion Solid Crew socks use elasticized arch braces to secure the fit for all-day comfort.,#238175,67% merino wool/20% recycled nylon/11% nylon/1% elastane/1% polyester
Smartwool   Hike Light Cushion Hoo Who Crew Socks - Women's,Smartwool,18.73,Gear up for a great hike with these Smartwool crew socks. Light cushioning along the bottom of the foot provides just the right amount of padding. Comfort welts make sure they stay put in your boots.,#C02341,57% merino wool/41% nylon/2% elastane
REI Co-op   Merino Wool Ultralight Crew Hiking Socks - Seconds - 2 Pairs,REI Co-op,25.73,"Walk in comfort with this 2-pack of REI Co-op Merino Wool Ultralight Crew Hiking Socks. Cushioned only in critical areas, they naturally breathe, wick moisture and resist odors.",#254471,72% merino wool/26% nylon/2% lycra spandex
Darn Tough   Light Hiker Quarter Lightweight Hiking Socks - Women's,Darn Tough,22.0,"Boasting smooth cuffs, a comfy fit and lightweight functionality, the women's Darn Tough Light Hiker Quarter Lightweight hiking socks are ready for both quick day hikes and multiday treks.",#186442,52% nylon/44% merino wool/4% lycra spandex
Darn Tough   Hiker Boot Sock Cushion Socks - Men's,Darn Tough,28.0,"With cushioning for the perfect amount of support and a smooth fit with no slipping, bunching, or blisters, the Darn Tough Hiker Boot Sock Cushion socks have earned a place in the hearts of hikers.",#887221,64% merino wool/33% nylon/3% lycra spandex
REI Co-op   650 Down Jacket - Women's,REI Co-op,129.0,"Bundle up for chilly walks, crisp air and crunchy leaves in the REI Co-op women's 650 Down jacket. This everyday jacket boasts recycled materials to help you feel good in more ways than one.",#221539,recycled ripstop nylon (bluesign approved)
Icebreaker   Hike Cool-Lite 3/4 Crew Socks - Women's,Icebreaker,18.73,"Soft, durable and breathable, these 3/4-length Icebreaker crew socks are built for hiking in warm weather. They're ultralight and made with a merino wool blend.",#248337,41% nylon/28% merino wool/28% tencel/3% lycra spandex
REI Co-op   Sahara T-Shirt - Women's,REI Co-op,23.93,"We've remade one of our favorite hiking staples with partially recycled fabric. Designed for the trail, the women's REI Co-op Sahara T-shirt stretches, wicks sweat and shades you from the day's rays.",#227662,55% polyester/37% recycled polyester/8% spandex (bluesign approved)
REI Co-op   Sahara Shade Hoodie - Men's,REI Co-op,49.95,"This REI Co-op sun shirt is great for days spent on the trails or water. Its stretchy, technical knit wicks moisture and provides UPF 50+ sun protection. Pull up the hood for extra coverage.",#185196,92% polyester/8% spandex (bluesign approved)
REI Co-op   Sahara Stretch Convertible Pants - Men's,REI Co-op,49.83,"Inspired by our iconic hiking pants—but designed with extra stretch and a slimmer leg—the men's REI Co-op Sahara Stretch Convertible pants repel water, dry fast and zip off into shorts as needed.",#242911,88% nylon/12% spandex (bluesign approved)
Darn Tough   Critter Club Lightweight Micro Crew Socks - Women's,Darn Tough,25.0,"Lightly cushioned hiking socks with all the anti-funk qualities of merino wool, the women's Darn Tough Critter Club Lightweight Micro Crew socks give you freedom and flex to hike up any trail.",#205962,54% nylon/43% merino wool/3% lycra spandex
REI Co-op   Trailmade Fleece Jacket - Women's,REI Co-op,59.95,The camp-friendly REI Co-op Trailmade women's fleece jacket keeps you toasty on cold days and cozy beneath your shell jacket. This grab-and-go for warmth is made with 100% recycled polyester.,#217359,recycled polyester fleece
Farm to Feet   Pinnacle Light Cushion Socks,Farm to Feet,14.73,"From the peak to the pub, Farm to Feet Pinnacle socks will keep your feet comfortable. They have light cushioning in the soles.",#C01533,72% u.s. merino wool/26% u.s. nylon/2% u.s. lycra spandex
